Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,First class,female,51.0,1,0,77.9583,S
0,Third Class,female,30.5,0,0,7.75,Q
0,Third Class,male,32.0,0,0,8.3625,S
0,Third Class,male,24.0,0,0,9.5,S
0,Third Class,male,48.0,0,0,7.8542,S
0,Second Class,female,57.0,0,0,10.5,S
1,Second Class,female,54.0,1,3,23.0,S
0,Third Class,male,18.0,0,0,7.75,S
1,Third Class,female,5.0,0,0,12.475,S
1,First class,female,43.0,0,1,211.3375,S
1,Third Class,female,13.0,0,0,7.2292,C
1,First class,female,17.0,1,0,57.0,S
0,First class,male,29.0,0,0,30.0,S
0,Third Class,male,25.0,0,0,7.05,S
0,Third Class,male,25.0,0,0,7.25,S
1,Third Class,female,18.0,0,0,7.4958,S
0,Third Class,male,8.0,4,1,29.125,Q
1,Third Class,male,1.0,1,2,20.575,S
0,First class,male,46.0,0,0,79.2,C
0,Second Class,male,16.0,0,0,26.0,S
0,Third Class,male,25.0,0,0,7.8958,S
0,Second Class,male,39.0,0,0,13.0,S
1,First class,female,49.0,0,0,25.9292,S
1,Third Class,female,31.0,0,0,8.6833,S
0,Third Class,male,30.0,0,0,7.2292,C
0,Third Class,female,30.0,1,1,24.15,S
0,Second Class,male,34.0,0,0,13.0,S
1,Second Class,female,31.0,1,1,26.25,S
1,First class,male,11.0,1,2,120.0,S
1,Third Class,male,0.42,0,1,8.5167,C
1,Third Class,male,27.0,0,0,6.975,S
0,Third Class,male,31.0,0,0,7.775,S
0,First class,male,39.0,0,0,0.0,S
0,Third Class,female,18.0,0,0,7.775,S
0,Second Class,male,39.0,0,0,13.0,S
1,First class,female,33.0,1,0,53.1,S
0,Third Class,male,26.0,0,0,7.8875,S
0,Third Class,male,39.0,0,0,24.15,S
0,Second Class,male,35.0,0,0,10.5,S
0,Third Class,female,6.0,4,2,31.275,S
0,Third Class,male,30.5,0,0,8.05,S
0,Third Class,female,23.0,0,0,7.925,S
0,Second Class,male,31.0,1,1,37.0042,C
0,Third Class,male,43.0,0,0,6.45,S
0,Third Class,male,10.0,3,2,27.9,S
1,First class,female,52.0,1,1,93.5,S
1,Third Class,male,27.0,0,0,8.6625,S
0,First class,male,38.0,0,0,0.0,S
1,Third Class,female,27.0,0,1,12.475,S
0,Third Class,male,2.0,4,1,39.6875,S
1,Second Class,male,1.0,0,2,37.0042,C
1,Third Class,female,15.0,1,0,14.4542,C
1,Second Class,male,0.83,1,1,18.75,S
0,Third Class,male,23.0,0,0,7.8542,S
0,Third Class,male,18.0,0,0,8.3,S
1,First class,female,39.0,1,1,83.1583,C
0,Third Class,male,21.0,0,0,8.6625,S
1,Third Class,male,32.0,0,0,56.4958,S
0,Third Class,male,20.0,0,0,7.925,S
0,Second Class,male,16.0,0,0,10.5,S
1,First class,female,30.0,0,0,31.0,C
0,Third Class,male,34.5,0,0,6.4375,C
0,Third Class,male,17.0,0,0,8.6625,S
0,Third Class,male,42.0,0,0,7.55,S
0,Third Class,male,35.0,0,0,7.8958,C
0,Second Class,male,28.0,0,1,33.0,S
0,Third Class,male,4.0,4,2,31.275,S
0,Third Class,male,74.0,0,0,7.775,S
0,Third Class,female,9.0,1,1,15.2458,C
1,First class,female,16.0,0,1,39.4,S
0,Second Class,female,44.0,1,0,26.0,S
1,Third Class,female,18.0,0,1,9.35,S
1,First class,female,45.0,1,1,164.8667,S
1,First class,male,51.0,0,0,26.55,S
1,Third Class,female,24.0,0,3,19.2583,C
0,Third Class,male,41.0,2,0,14.1083,S
0,Second Class,male,21.0,1,0,11.5,S
1,First class,female,48.0,0,0,25.9292,S
0,Second Class,male,24.0,0,0,13.0,S
1,Second Class,female,42.0,0,0,13.0,S
1,Second Class,female,27.0,1,0,13.8583,C
0,First class,male,31.0,0,0,50.4958,S
1,Third Class,male,4.0,1,1,11.1333,S
0,Third Class,male,26.0,0,0,7.8958,S
1,First class,female,47.0,1,1,52.5542,S
0,First class,male,33.0,0,0,5.0,S
0,Third Class,male,47.0,0,0,9.0,S
1,Second Class,female,28.0,1,0,24.0,C
1,Third Class,female,15.0,0,0,7.225,C
0,Third Class,male,20.0,0,0,9.8458,S
0,Third Class,male,19.0,0,0,7.8958,S
1,First class,female,56.0,0,1,83.1583,C
1,Second Class,female,25.0,0,1,26.0,S
0,Third Class,male,33.0,0,0,7.8958,S
0,Third Class,female,22.0,0,0,10.5167,S
0,Second Class,male,28.0,0,0,10.5,S
0,Third Class,male,25.0,0,0,7.05,S
0,Third Class,female,39.0,0,5,29.125,Q
0,Second Class,male,27.0,0,0,13.0,S
1,First class,female,19.0,0,0,30.0,S
1,First class,male,26.0,0,0,30.0,C
0,Third Class,male,32.0,0,0,7.75,Q
